Symbol,Date,Time,Bid_Price,Ask_Price,Bid_Size,Ask_Size
ESU13,09/01/2013,17:52:44.116,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:44.116,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:44.131,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:44.131,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:44.531,1641.25,1641.5,46,65
ESU13,09/01/2013,17:52:44.531,1641.25,1641.5,42,65
ESU13,09/01/2013,17:52:44.531,1641.25,1641.5,46,65
ESU13,09/01/2013,17:52:44.531,1641.25,1641.5,42,65
ESU13,09/01/2013,17:52:44.531,1641.25,1641.5,46,65
ESU13,09/01/2013,17:52:44.771,1641.25,1641.5,42,65
ESU13,09/01/2013,17:52:44.771,1641.25,1641.5,46,65
ESU13,09/01/2013,17:52:44.771,1641.25,1641.5,42,65
ESU13,09/01/2013,17:52:44.771,1641.25,1641.5,46,65
ESU13,09/01/2013,17:52:44.945,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:44.945,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:44.945,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:44.945,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:44.945,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:45.307,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:45.307,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:45.307,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:45.307,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:45.558,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:45.558,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:45.785,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:45.785,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:45.808,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:45.808,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:45.971,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:45.971,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:46.220,1641.25,1641.5,42,64
ESU13,09/01/2013,17:52:46.220,1641.25,1641.5,46,64
ESU13,09/01/2013,17:52:46.577,1641.25,1641.5,39,64
ESU13,09/01/2013,17:52:46.577,1641.25,1641.5,35,64
ESU13,09/01/2013,17:52:46.577,1641.25,1641.5,39,64
ESU13,09/01/2013,17:52:46.577,1641.25,1641.5,35,64
ESU13,09/01/2013,17:52:47.755,1641.25,1641.5,34,64
ESU13,09/01/2013,17:52:49.238,1641.25,1641.5,32,64
ESU13,09/01/2013,17:52:49.264,1641.25,1641.5,32,66
ESU13,09/01/2013,17:52:50.001,1641.25,1641.5,32,61
ESU13,09/01/2013,17:52:50.001,1641.25,1641.5,32,56
ESU13,09/01/2013,17:52:50.001,1641.25,1641.5,36,56
ESU13,09/01/2013,17:52:50.136,1641.25,1641.5,32,56
ESU13,09/01/2013,17:52:50.136,1641.25,1641.5,36,56
ESU13,09/01/2013,17:52:50.221,1641.25,1641.5,32,56
ESU13,09/01/2013,17:52:50.721,1641.25,1641.5,33,56
ESU13,09/01/2013,17:52:52.019,1641.25,1641.5,33,49
ESU13,09/01/2013,17:52:53.256,1641.25,1641.5,33,47
ESU13,09/01/2013,17:52:55.738,1641.25,1641.5,26,47
ESU13,09/01/2013,17:52:56.000,1641.25,1641.5,26,40
ESU13,09/01/2013,17:53:01.069,1641.25,1641.5,26,39
ESU13,09/01/2013,17:53:03.152,1641.25,1641.5,21,39
ESU13,09/01/2013,17:53:03.152,1641.25,1641.5,18,39
ESU13,09/01/2013,17:53:03.152,1641.25,1641.5,15,39
ESU13,09/01/2013,17:53:03.152,1641.25,1641.5,12,39
ESU13,09/01/2013,17:53:04.874,1641.25,1641.5,54,39
ESU13,09/01/2013,17:53:04.874,1641.25,1641.5,57,39
ESU13,09/01/2013,17:53:04.874,1641.25,1641.5,60,39
ESU13,09/01/2013,17:53:04.874,1641.25,1641.5,63,39
ESU13,09/01/2013,17:53:07.210,1641.25,1641.5,65,39
ESU13,09/01/2013,17:53:21.561,1641.25,1641.5,65,44
ESU13,09/01/2013,17:53:22.743,1641.25,1641.5,63,44
ESU13,09/01/2013,17:53:23.871,1641.25,1641.5,63,39
ESU13,09/01/2013,17:53:27.340,1641.25,1641.5,63,41
ESU13,09/01/2013,17:53:29.002,1641.25,1641.5,63,46
ESU13,09/01/2013,17:53:29.038,1641.25,1641.5,63,35
